INSERT INTO tb_funcionarios
    (fun_nome, fun_cpf, fun_senha, fun_funcao)
VALUES
    ('Ahmed Martins', '22328461030', 'AVL22KHG6MN', 'Auxiliar administrativo'),
    ('Amal de Paula', '35188842533', 'HOO10QTV3WT', 'Auxiliar administrativo'),
    ('Anastasia Pires', '94771213418', 'WSQ25OLG4EQ', 'Repositor'),
    ('Ann Melo', '37166181833', 'PXJ65BSY5KN', 'Operador de caixa'),
    ('Anthony Correia', '34767131860', 'FZT03LCB6ZC', 'Peixeiro'),
    ('Aaron Das Dores', '73411247277', 'YUU31VRG3HG', 'Empacotador'),
    ('Astra Diniz', '63554029925', 'DOI51KYK9CF', 'Empacotador'),
    ('Barry Mariano', '45512694575', 'UWT54ENL0HZ', 'Repositor'),
    ('Bernard Dantas', '67072732838', 'CCT31OIM0ZH', 'Peixeiro'),
    ( 'Bernard Sales', '52386192393', 'GOR60LIH1LL', 'Padeiro'),
    ( 'Blake Diniz', '63832062156', 'PYO88CYD1EZ', 'Auxiliar administrativo'),
    ( 'Blythe Bueno', '67631141597', 'FVV36MXH9MW', 'Padeiro'),
    ( 'Brent Fagundes', '29494835174', 'TSH83JEG2RS', 'Peixeiro'),
    ( 'Carlos Santiago', '37333655836', 'DGH82SHR7HW', 'Açougueiro'),
    ( 'Cara de Castro', '97727722487', 'JGL38DYT2FR', 'Estoquista'),
    ( 'Cassandra Paiva', '52237666054', 'UJJ52LTJ0TH', 'Empacotador'),
    ( 'Chase Cruz', '37757234343', 'PGB93OXF8GJ', 'Estoquista'),
    ( 'Colleen Franca', '94232175789', 'DVO15GYV0KG', 'Operador de caixa'),
    ( 'Colton Simoes', '72818286939', 'JDU26ZPX8CD', 'Operador de caixa'),
    ( 'Cynthia de Abreu', '55527855511', 'BZV14OPE8WU', 'Operador de caixa'),
    ( 'Cyrus Feitosa', '16173272137', 'WQJ53HGV5QD', 'Repositor'),
    ( 'Dale de Carvalho', '13527697562', 'ZPG32ACZ4SX', 'Peixeiro'),
    ( 'Daniel Pires', '36731555045', 'PYQ30QHR3CR', 'Operador de caixa'),
    ( 'Davis Torres', '88254562672', 'BWO37YPD8XJ', 'Peixeiro'),
    ( 'Dolan Vasconcelos', '52820872597', 'WFO16OVM5CO', 'Empacotador'),
    ( 'Drew de Lourdes', '78096151663', 'SWF31DQH5FG', 'Operador de caixa'),
    ( 'Duncan Neves', '13264576932', 'GXK76TVE2IT', 'Empacotador'),
    ( 'Elaine Moraes', '04637515627', 'SIK43NFD6KB', 'Padeiro'),
    ( 'Elizabeth Feitosa', '71109730953', 'DVJ27BDB9EO', 'Operador de caixa'),
    ( 'Elmo Barbosa', '00859713606', 'VWR67GPK6KS', 'Peixeiro'),
    ( 'Erasmus Barreto', '90524767502', 'NXF37TWI0BH', 'Peixeiro'),
    ( 'Ethan Gonçalves', '74444163136', 'JPM92PUC9TU', 'Peixeiro'),
    ( 'Ezekiel Evangelista', '56313629761', 'JLJ50DXG4TF', 'Padeiro'),
    ( 'Gage Maia', '20531703038', 'XMA24FXT4MD', 'Peixeiro'),
    ( 'Giselle Martins', '44783679072', 'WQM51DGX0NS', 'Açougueiro'),
    ( 'Guy Macedo', '25702272164', 'UMN66XDX9LQ', 'Auxiliar administrativo'),
    ( 'Hakim de Lima', '77754395411', 'HUN53UMJ2UR', 'Empacotador'),
    ( 'Hamish Marques', '85023158075', 'KBS79QQX3GR', 'Repositor'),
    ( 'Harding Teles', '68749186994', 'ACS98TGK1XX', 'Auxiliar administrativo'),
    ( 'Hakeem de Lima', '77754395411', 'HUN53UMJ2UR', 'Empacotador'),
    ( 'Hall Batista', '26893842535', 'OVU43LUX7JJ', 'Repositor'),
    ( 'Herrod Correa', '71353783969', 'QEI39QJB8GH', 'Auxiliar administrativo'),
    ( 'Hoyt Peixoto', '96740071724', 'GGG15MNI2YO', 'Repositor'),
    ( 'Iliana da Cruz', '26753293058', 'GKM53FHH4VM', 'Açougueiro'),
